panel,tag,t,power_W,step_W,sd_W,drift_W,n_active,n_idle
a,f64,185.48924991488457,2.2886283108153225,,,,,
a,f64,186.72584491431712,2.8378162791747963,,,,,
a,f64,187.9624399137497,2.8547507736806454,,,,,
a,f64,189.19903491318226,2.835338721366129,,,,,
a,f64,190.43562991261481,2.834000402998374,,,,,
a,f64,191.6722249120474,2.837567208470968,,,,,
a,f64,192.90881991147995,2.8328215607935485,,,,,
a,f64,194.1454149109125,2.9162252271617883,,,,,
a,f64,195.3820099103451,2.835211739799194,,,,,
a,f64,196.61860490977764,2.8296046220161295,,,,,
a,f64,197.8551999092102,2.852105324619512,,,,,
a,f64,199.09179490864278,2.8333646765822578,,,,,
a,f64,200.32838990807534,2.8251666625798384,,,,,
a,f64,201.5649849075079,2.8394685951894307,,,,,
a,f64,202.80157990694047,2.8457345640096774,,,,,
a,f64,204.03817490637303,2.827876429867742,,,,,
a,f64,205.27476990580558,2.834273309782927,,,,,
a,f64,206.51136490523814,2.9144796060096776,,,,,
a,f64,207.74795990467072,2.8650164967064513,,,,,
a,f64,208.98455490410328,2.8223911647658535,,,,,
a,f64,210.22114990353583,2.8408705602298387,,,,,
a,f64,211.45774490296841,2.8349794157822577,,,,,
a,f64,212.69433990240097,2.8598136304666673,,,,,
a,f64,213.93093490183352,2.815476986937097,,,,,
a,f64,215.1675299012661,2.843534048187097,,,,,
a,f64,216.40412490069866,2.824798414646341,,,,,
a,f64,217.64071990013122,2.83794752536371,,,,,
a,f64,218.8773148995638,2.9115195795894304,,,,,
a,f64,220.11390989899635,2.8466751337943546,,,,,
a,f64,221.3505048984289,2.840301151068548,,,,,
a,f64,222.5870998978615,2.8354182164943085,,,,,
a,f64,223.82369489729405,2.8327503841290316,,,,,
a,f64,225.0602898967266,2.8345385078217746,,,,,
a,f64,226.29688489615918,2.8374194463772358,,,,,
a,f64,227.53347989559174,2.8398518898685485,,,,,
a,f64,228.7700748950243,2.8434708564648,,,,,
a,f64,230.00666989445688,2.8411453348414635,,,,,
a,f64,231.24326489388943,2.9275560005927423,,,,,
a,f64,232.479859893322,2.8494344774733866,,,,,
a,f64,233.71645489275457,2.8283970836276424,,,,,
a,f64,234.95304989218712,2.834936855226613,,,,,
a,f64,236.18964489161968,2.838090909040322,,,,,
a,f64,237.42623989105226,2.834467880861789,,,,,
a,f64,238.66283489048482,2.8692472349475806,,,,,
a,f64,239.89942988991737,2.868831351074194,,,,,
a,f64,241.13602488934993,2.874926594139025,,,,,
a,f64,242.3726198887825,2.8605739367620964,,,,,
a,f64,243.60921488821506,2.941121312349594,,,,,
a,f64,244.84580988764762,2.8465304416911286,,,,,
a,f64,246.0824048870802,2.8320259331677415,,,,,
a,f64,247.31899988651276,2.826600524086179,,,,,
a,f64,248.5555948859453,2.8503853559258068,,,,,
a,f64,249.7921898853779,2.8306222085975805,,,,,
a,f64,251.02878488481045,2.8377194536056907,,,,,
a,f64,252.265379884243,2.8379780626314512,,,,,
a,f64,253.5019748836756,2.8395528642258063,,,,,
a,f64,254.73856988310814,2.834976653073171,,,,,
a,f64,255.9751648825407,2.834505034430646,,,,,
a,f64,257.21175988197325,2.9604793795709674,,,,,
a,f64,258.4483548814058,2.8665254317788618,,,,,
a,f64,259.6849498808384,2.8722985645806447,,,,,
a,f64,260.921544880271,2.864170605174194,,,,,
a,f64,262.1581398797035,2.8548511303252035,,,,,
a,f64,263.3947348791361,2.8725828054677414,,,,,
a,f64,264.63132987856864,2.8728285675548384,,,,,
a,f64,265.8679248780012,2.8645094980910573,,,,,
a,f64,267.1045198774338,2.8953518637903217,,,,,
a,f64,268.34111487686636,2.8680571504612913,,,,,
a,f64,269.5777098762989,2.9587320824317067,,,,,
a,f64,270.81430487573147,2.887510506733064,,,,,
a,f64,272.050899875164,2.881115365658871,,,,,
a,f64,273.2874948745966,2.8823404156544714,,,,,
a,f64,274.5240898740292,2.878161080340323,,,,,
a,f64,275.76068487346174,2.8536634226193547,,,,,
a,f64,276.9972798728943,2.848536847004878,,,,,
a,f64,278.23387487232685,2.8673550294193544,,,,,
a,f64,279.4704698717594,2.866956735229032,,,,,
a,f64,280.70706487119196,2.8735757652552842,,,,,
a,f64,281.9436598706246,2.974859617293549,,,,,
a,f64,283.1802548700571,2.8901076873137104,,,,,
a,f64,284.4168498694897,2.8543736408642277,,,,,
a,f64,285.65344486892224,2.8747848580911284,,,,,
a,f64,286.8900398683548,2.872455735825807,,,,,
a,f64,288.12663486778735,2.8714409285130076,,,,,
a,f64,289.3632298672199,2.864074569708871,,,,,
a,f64,290.5998248666525,2.863309759612903,,,,,
a,f64,291.83641986608507,2.872179275284553,,,,,
a,f64,293.0730148655176,2.946835286428226,,,,,
a,f64,294.3096098649502,2.907314241369919,,,,,
a,f64,295.54620486438273,2.866208562521774,,,,,
a,f64,296.7827998638153,2.8615074483612903,,,,,
a,f64,298.0193948632479,2.8720658659382114,,,,,
a,f64,299.25598986268045,2.86003852356129,,,,,
a,f64,300.492584862113,2.8686955641709675,,,,,
a,f64,301.72917986154556,2.8585556490406505,,,,,
a,f64,302.9657748609781,2.8739205633516134,,,,,
a,f64,304.20236986041067,2.8648007142854834,,,,,
a,f64,305.4389648598433,2.955711134003252,,,,,
a,f64,306.67555985927584,2.8735928991185484,,,,,
a,f64,307.9121548587084,2.862770369075,,,,,
a,f64,309.14874985814095,2.872492679564228,,,,,
a,f64,310.3853448575735,2.8676141697935487,,,,,
a,f64,311.62193985700605,2.883967213312903,,,,,
a,f64,312.85853485643867,2.856061681882927,,,,,
a,f64,314.0951298558712,2.8553642942387096,,,,,
a,f64,315.3317248553038,2.860649809816129,,,,,
a,f64,316.56831985473633,2.8843661213691068,,,,,
a,f64,317.8049148541689,2.944618482057258,,,,,
a,f64,319.04150985360144,2.8639706508725804,,,,,
a,f64,320.278104853034,2.834480862253658,,,,,
a,f64,321.5146998524666,2.8294768067241933,,,,,
a,f64,322.75129485189916,2.829339349566128,,,,,
a,f64,323.9878898513317,2.8422556064365847,,,,,
a,f64,325.22448485076427,2.8323353827693554,,,,,
a,f64,326.4610798501968,2.8320683868403225,,,,,
a,f64,327.6976748496294,2.8403387653609755,,,,,
a,f64,328.934269849062,2.8518483788887092,,,,,
a,f64,330.17086484849455,2.940778109915322,,,,,
a,f64,331.4074598479271,2.8531453924056907,,,,,
a,f64,332.64405484735966,2.8651902959096764,,,,,
a,f64,333.8806498467922,2.8557588353354832,,,,,
a,f64,335.11724484622476,2.8778267959772355,,,,,
a,f64,336.3538398456574,2.8441967553822574,,,,,
a,f64,337.59043484508993,2.8780637217370972,,,,,
a,f64,338.8270298445225,2.8667042419869913,,,,,
a,f64,340.06362484395504,2.862438839738709,,,,,
a,f64,341.3002198433876,2.870700428170968,,,,,
a,f64,342.53681484282015,2.9434592750243906,,,,,
a,f64,343.77340984225276,2.867767597737903,,,,,
a,f64,345.0100048416853,2.8590707536870963,,,,,
a,f64,346.24659984111787,2.868414790725203,,,,,
a,f64,347.4831948405504,2.8626480000548384,,,,,
a,f64,348.719789839983,2.884987490901613,,,,,
a,f64,349.95638483941553,2.820175926767479,,,,,
a,f64,351.1929798388481,2.8301276517161287,,,,,
a,f64,352.4295748382807,2.8370214903741933,,,,,
a,f64,353.66616983771326,2.8404971224642277,,,,,
a,f64,354.9027648371458,2.9153996500354835,,,,,
a,f64,356.13935983657836,2.846847427121951,,,,,
a,f64,357.3759548360109,2.8385114272629033,,,,,
a,f64,358.6125498354435,2.8390139582612908,,,,,
a,f64,359.8491448348761,2.8554337423398377,,,,,
a,f64,361.08573983430864,2.8777454585153226,,,,,
a,f64,362.3223348337412,2.8555893063838704,,,,,
a,f64,363.55892983317375,2.8714339413658534,,,,,
a,f64,364.7955248326063,2.8679017517967744,,,,,
a,f64,366.03211983203886,2.3455324120459684,,,,,
a,f64,367.26871483147147,2.1136378741146347,,,,,
a,f64,368.505309830904,2.1750941668177415,,,,,
a,f64,369.7419048303366,2.107450819198387,,,,,
a,f64,370.97849982976913,2.141098659304878,,,,,
a,f64,372.2150948292017,2.1008284255314513,,,,,
a,f64,373.45168982863424,2.100379903041129,,,,,
a,f64,374.68828482806686,2.0966587847341462,,,,,
a,f64,375.9248798274994,2.095885365680645,,,,,
a,f64,377.16147482693196,2.0956590499612906,,,,,
a,f64,378.3980698263645,2.098244423703252,,,,,
a,f64,379.6346648257971,2.0959775530661298,,,,,
a,f64,380.87125982522963,2.1796782427959673,,,,,
a,f64,382.1078548246622,2.1026881637869916,,,,,
a,f64,383.3444498240948,2.0983373530500007,,,,,
a,f64,384.58104482352735,2.096409476308065,,,,,
a,f64,385.8176398229599,2.1011537952943087,,,,,
a,f64,387.05423482239246,2.096663820806452,,,,,
a,f64,388.290829821825,2.0943619752879035,,,,,
a,f64,389.52742482125757,2.1389225342471545,,,,,
a,f64,390.7640198206902,2.1045317692322576,,,,,
a,f64,392.00061482012273,2.0953047942419354,,,,,
a,f64,393.2372098195553,2.1860752060349595,,,,,
a,f64,394.47380481898784,2.101252685160484,,,,,
a,f64,395.7103998184204,2.105722383416935,,,,,
a,f64,396.94699481785295,2.101645575544715,,,,,
a,f64,398.18358981728557,2.0949814928064514,,,,,
a,f64,399.4201848167181,2.0936284173838704,,,,,
a,f64,400.6567798161507,2.0957919576577235,,,,,
a,f64,401.89337481558323,2.095570326487097,,,,,
a,f64,403.1299698150158,2.0941271265935484,,,,,
a,f64,404.36656481444834,2.093968854530081,,,,,
a,f64,405.60315981388095,2.1811323233233875,,,,,
a,f64,406.8397548133135,2.1007773027330647,,,,,
a,f64,408.07634981274606,2.0952535443333336,,,,,
a,f64,409.3129448121786,2.0938074856016127,,,,,
a,f64,410.54953981161117,2.102387897912097,,,,,
a,f64,411.7861348110437,2.0937013217536578,,,,,
a,f64,413.0227298104763,2.0943474123791987,,,,,
a,f64,414.2593248099089,2.0940945232390242,,,,,
a,f64,415.49591980934144,2.09351669166129,,,,,
a,f64,416.732514808774,2.0953940745096777,,,,,
a,f64,417.96910980820655,2.1044678236227643,,,,,
a,f64,419.2057048076391,2.194308711673387,,,,,
a,f64,420.44229980707166,2.12196918235887,,,,,
a,f64,421.6788948065043,2.0934008835658537,,,,,
a,f64,422.91548980593683,2.0996939480096772,,,,,
a,f64,424.1520848053694,2.095033010060484,,,,,
a,f64,425.38867980480194,2.1019479574113826,,,,,
a,f64,426.6252748042345,2.09985963626371,,,,,
a,f64,427.86186980366705,2.094157224173387,,,,,
a,f64,429.09846480309966,2.1004078070357726,,,,,
a,f64,430.3350598025322,2.0994656877709676,,,,,
a,f64,431.57165480196477,2.1755971453282257,,,,,
